DATE,TIME,SPO2,PULSE
2014-06-29, 20:45:34, 96, 79
2014-06-29, 20:45:35, 96, 79
2014-06-29, 20:45:36, 96, 79
2014-06-29, 20:45:37, 96, 79
2014-06-29, 20:45:38, 96, 79
2014-06-29, 20:45:39, 96, 79
2014-06-29, 20:45:40, 96, 78
2014-06-29, 20:45:41, 96, 78
2014-06-29, 20:45:42, 96, 77
2014-06-29, 20:45:43, 96, 77
2014-06-29, 20:45:44, 96, 77
2014-06-29, 20:45:45, 96, 77
2014-06-29, 20:45:46, 96, 77
2014-06-29, 20:45:47, 96, 78
2014-06-29, 20:45:48, 96, 78
2014-06-29, 20:45:49, 96, 78
2014-06-29, 20:45:50, 96, 77
2014-06-29, 20:45:51, 96, 77
2014-06-29, 20:45:52, 96, 78
2014-06-29, 20:45:53, 96, 78
2014-06-29, 20:45:54, 96, 77
2014-06-29, 20:45:55, 96, 77
2014-06-29, 20:45:56, 96, 78
2014-06-29, 20:45:57, 96, 77
2014-06-29, 20:45:58, 96, 77
2014-06-29, 20:45:59, 96, 77
2014-06-29, 20:46:00, 96, 77
2014-06-29, 20:46:01, 96, 76
2014-06-29, 20:46:02, 96, 76
2014-06-29, 20:46:03, 96, 76
2014-06-29, 20:46:04, 96, 77
2014-06-29, 20:46:05, 95, 77
2014-06-29, 20:46:06, 95, 77
2014-06-29, 20:46:07, 95, 77
2014-06-29, 20:46:08, 94, 78
2014-06-29, 20:46:09, 94, 78
2014-06-29, 20:46:10, 94, 78
2014-06-29, 20:46:11, 94, 78
2014-06-29, 20:46:12, 94, 79
2014-06-29, 20:46:13, 94, 79
2014-06-29, 20:46:14, 94, 79
2014-06-29, 20:46:15, 94, 79
2014-06-29, 20:46:16, 94, 79
2014-06-29, 20:46:17, 95, 79
2014-06-29, 20:46:18, 95, 79
2014-06-29, 20:46:19, 95, 79
2014-06-29, 20:46:20, 95, 79
2014-06-29, 20:46:21, 95, 78
2014-06-29, 20:46:22, 95, 78
2014-06-29, 20:46:23, 95, 78
2014-06-29, 20:46:24, 95, 78
2014-06-29, 20:46:25, 95, 78
2014-06-29, 20:46:26, 95, 78
2014-06-29, 20:46:27, 95, 78
2014-06-29, 20:46:28, 95, 78
2014-06-29, 20:46:29, 95, 78
2014-06-29, 20:46:30, 95, 78
2014-06-29, 20:46:31, 95, 79
2014-06-29, 20:46:32, 95, 79
2014-06-29, 20:46:33, 95, 80
2014-06-29, 20:46:34, 95, 81
2014-06-29, 20:46:35, 95, 81
2014-06-29, 20:46:36, 95, 81
2014-06-29, 20:46:37, 95, 80
2014-06-29, 20:46:38, 95, 80
2014-06-29, 20:46:39, 95, 80
2014-06-29, 20:46:40, 95, 79
2014-06-29, 20:46:41, 95, 79
2014-06-29, 20:46:42, 95, 79
2014-06-29, 20:46:43, 96, 79
2014-06-29, 20:46:44, 96, 80
2014-06-29, 20:46:45, 96, 80
2014-06-29, 20:46:46, 95, 81
2014-06-29, 20:46:47, 95, 81
2014-06-29, 20:46:48, 95, 81
2014-06-29, 20:46:49, 95, 81
2014-06-29, 20:46:50, 95, 81
2014-06-29, 20:46:51, 95, 81
2014-06-29, 20:46:52, 95, 81
2014-06-29, 20:46:53, 95, 81
2014-06-29, 20:46:54, 95, 81
2014-06-29, 20:46:55, 95, 81
2014-06-29, 20:46:56, 95, 82
2014-06-29, 20:46:57, 95, 82
2014-06-29, 20:46:58, 95, 82
2014-06-29, 20:46:59, 95, 81
2014-06-29, 20:47:00, 95, 81
2014-06-29, 20:47:01, 95, 81
2014-06-29, 20:47:02, 95, 81
2014-06-29, 20:47:03, 95, 80
2014-06-29, 20:47:04, 95, 80
2014-06-29, 20:47:05, 95, 80
2014-06-29, 20:47:06, 95, 80
2014-06-29, 20:47:07, 95, 80
2014-06-29, 20:47:08, 95, 80
2014-06-29, 20:47:09, 95, 80
2014-06-29, 20:47:10, 95, 79
2014-06-29, 20:47:11, 95, 79
2014-06-29, 20:47:12, 95, 79
2014-06-29, 20:47:13, 95, 79
2014-06-29, 20:47:14, 95, 78
2014-06-29, 20:47:15, 95, 78
2014-06-29, 20:47:16, 95, 78
2014-06-29, 20:47:17, 95, 78
2014-06-29, 20:47:18, 95, 77
2014-06-29, 20:47:19, 95, 78
2014-06-29, 20:47:20, 95, 78
2014-06-29, 20:47:21, 95, 78
2014-06-29, 20:47:22, 95, 78
2014-06-29, 20:47:23, 95, 78
2014-06-29, 20:47:24, 95, 79
2014-06-29, 20:47:25, 95, 79
2014-06-29, 20:47:26, 95, 79
2014-06-29, 20:47:27, 95, 79
2014-06-29, 20:47:28, 95, 78
2014-06-29, 20:47:29, 95, 78
2014-06-29, 20:47:30, 95, 78
2014-06-29, 20:47:31, 95, 78
2014-06-29, 20:47:32, 95, 77
2014-06-29, 20:47:33, 95, 77
2014-06-29, 20:47:34, 95, 78
2014-06-29, 20:47:35, 95, 78
2014-06-29, 20:47:36, 95, 79
2014-06-29, 20:47:37, 95, 78
2014-06-29, 20:47:38, 95, 78
2014-06-29, 20:47:39, 95, 78
2014-06-29, 20:47:40, 95, 78
2014-06-29, 20:47:41, 95, 78
2014-06-29, 20:47:42, 95, 78
2014-06-29, 20:47:43, 95, 78
2014-06-29, 20:47:44, 95, 77
2014-06-29, 20:47:45, 95, 77
2014-06-29, 20:47:46, 95, 77
2014-06-29, 20:47:47, 95, 77
2014-06-29, 20:47:48, 95, 77
2014-06-29, 20:47:49, 95, 77
2014-06-29, 20:47:50, 95, 77
2014-06-29, 20:47:51, 95, 77
2014-06-29, 20:47:52, 95, 77
2014-06-29, 20:47:53, 95, 77
2014-06-29, 20:47:54, 95, 76
2014-06-29, 20:47:55, 95, 76
2014-06-29, 20:47:56, 95, 76
2014-06-29, 20:47:57, 95, 75
2014-06-29, 20:47:58, 95, 75
2014-06-29, 20:47:59, 95, 75
2014-06-29, 20:48:00, 95, 76
2014-06-29, 20:48:01, 95, 76
2014-06-29, 20:48:02, 95, 76
2014-06-29, 20:48:03, 95, 76
2014-06-29, 20:48:04, 95, 75
2014-06-29, 20:48:05, 95, 75
2014-06-29, 20:48:06, 95, 75
2014-06-29, 20:48:07, 95, 75
2014-06-29, 20:48:08, 95, 75
2014-06-29, 20:48:09, 95, 75
2014-06-29, 20:48:10, 95, 75
2014-06-29, 20:48:11, 95, 75
2014-06-29, 20:48:12, 95, 75
2014-06-29, 20:48:13, 95, 75
2014-06-29, 20:48:14, 95, 75
2014-06-29, 20:48:15, 95, 75
2014-06-29, 20:48:16, 95, 75
2014-06-29, 20:48:17, 95, 76
2014-06-29, 20:48:18, 95, 76
